% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 15 2025, 18:37
% Dimension:          1
% Nodes:              1001
% Expressions:        8
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0.5529203070318035        0.020054480228615792     0.5529203070318035       0.03610401804046497      0.5529203070318035       0.05480530954048084      0.5529203070318035       0.06862373658406978      0.5529203070318035
0.5592034923389833        0.019812482097986934     0.5592034923389831       0.03571099873181713      0.5592034923389831       0.05420991022539542      0.5592034923389831       0.0678734979855267       0.5592034923389831
0.5654866776461628        0.014888138297185787     0.5654866776461628       0.02680923062669411      0.5654866776461628       0.04070852677105061      0.5654866776461628       0.050944077017047035     0.5654866776461628
0.5717698629533423        0.019344684140331542     0.5717698629533423       0.034814338301118374     0.5717698629533423       0.05284868810042689      0.5717698629533423       0.06617266964117088      0.5717698629533423
0.578053048260522         0.021187615857061054     0.578053048260522        0.03817788861457378      0.578053048260522        0.057953171605638634     0.578053048260522        0.0725613080502547       0.578053048260522
0.5843362335677015        0.014701681553347397     0.5843362335677015       0.026483243049320957     0.5843362335677015       0.04021410094734361      0.5843362335677015       0.05032455375941366      0.5843362335677015
0.5906194188748811        0.018347634176763255     0.5906194188748811       0.03301875582605923      0.5906194188748811       0.05012437329345004      0.5906194188748811       0.06275964454971732      0.5906194188748811
0.5969026041820608        0.021963586376214143     0.5969026041820606       0.03957266527177519      0.5969026041820606       0.060069333124246456     0.5969026041820606       0.0752127131392146       0.5969026041820606
0.6031857894892403        0.015268561829097596     0.6031857894892403       0.02751531188258193      0.6031857894892403       0.04178035145434412      0.6031857894892403       0.05228604173653474      0.6031857894892403
0.6094689747964198        0.017441490432214476     0.6094689747964198       0.0313894854722549       0.6094689747964198       0.04765295017302377      0.6094689747964198       0.05966249396060162      0.6094689747964198
0.6157521601035995        0.02223706877194359      0.6157521601035995       0.040063005091978986     0.6157521601035995       0.06081274904144556      0.6157521601035995       0.07614607217818842      0.6157521601035995
0.6220353454107791        0.016267007012356827     0.6220353454107791       0.02931969913381845      0.6220353454107791       0.04451795332411505      0.6220353454107791       0.05571490739152295      0.6220353454107791
0.6283185307179586        0.016769533096206223     0.6283185307179586       0.030175595061801556     0.6283185307179586       0.045811967346465504     0.6283185307179586       0.057353175081161875     0.6283185307179586
0.6346017160251383        0.02203606715602119      0.6346017160251383       0.03969579404904921      0.6346017160251383       0.060254968171106434     0.6346017160251383       0.07545099223091227      0.6346017160251383
0.6408849013323178        0.017576220349893812     0.6408849013323178       0.03167977347712757      0.6408849013323178       0.048099426061378535     0.6408849013323178       0.06020177353487755      0.6408849013323178
0.6471680866394973        0.01647851698593953      0.6471680866394973       0.02964730674904569      0.6471680866394973       0.045011608415849225     0.6471680866394973       0.0563443824323193       0.6471680866394973
0.6534512719466771        0.02122129209575948      0.6534512719466771       0.038226558486293444     0.6534512719466771       0.05802435469502127      0.6534512719466771       0.07266135481665294      0.6534512719466771
0.6597344572538566        0.01906571689699209      0.6597344572538566       0.034368566942691435     0.6597344572538566       0.05217972759946158      0.6597344572538566       0.06531618071418062      0.6597344572538566
0.6660176425610361        0.016843712759582633     0.6660176425610361       0.030308986007708764     0.6660176425610361       0.0460169123468546       0.6660176425610361       0.05759579733291091      0.6660176425610361
0.6723008278682158        0.01960667072150054      0.6723008278682158       0.0353230383895986       0.6723008278682158       0.05361700707978105      0.6723008278682158       0.06714369881919416      0.6723008278682158
0.6785840131753953        0.020426837787329736     0.6785840131753953       0.03681631248189111      0.6785840131753953       0.055893398957586236     0.6785840131753953       0.06997500468680615      0.6785840131753953
0.6848671984825748        0.018105937170383696     0.6848671984825748       0.03258394699162822      0.6848671984825748       0.049469785591980855     0.6848671984825748       0.061916106690542844     0.6848671984825748
0.6911503837897546        0.017330937800115832     0.6911503837897546       0.031215926594483977     0.6911503837897546       0.04738520495404716      0.6911503837897546       0.059333499019655095     0.6911503837897546
0.6974335690969341        0.02111502994253992      0.6974335690969341       0.03802540755983398      0.6974335690969341       0.05772613769817065      0.6974335690969341       0.07227884920824683      0.6974335690969341
0.7037167544041136        0.020039084608147618     0.7037167544041136       0.036061337978797736     0.7037167544041136       0.054745582879632514     0.7037167544041136       0.06852738744451682      0.7037167544041136
0.7099999397112933        0.01554447278779395      0.7099999397112933       0.027975942013165604     0.7099999397112933       0.04247387593526987      0.7099999397112933       0.05316751757556878      0.7099999397112933
0.7162831250184728        0.02048698456343206      0.7162831250184728       0.03685615969803579      0.7162831250184728       0.055949619417724104     0.7162831250184728       0.07005947623363928      0.7162831250184728
0.7225663103256524        0.021729808934110632     0.7225663103256523       0.039128305237947504     0.7225663103256523       0.05939846190527043      0.7225663103256523       0.0743629293029635       0.7225663103256523
0.7288494956328321        0.01636488247965665      0.7288494956328321       0.029459042163289973     0.7288494956328321       0.04473072802281107      0.7288494956328321       0.05597890352120652      0.7288494956328321
0.7351326809400116        0.018399177458269682     0.7351326809400116       0.03309206073967585      0.7351326809400116       0.05023442672949597      0.7351326809400116       0.06290087506043053      0.7351326809400116
