% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:59
% Dimension:          1
% Nodes:              1001
% Expressions:        20
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.25132741228718347       1.8933049338967215E-16   0.25132741228718347      1.9394145608026917E-16   0.25132741228718347      1.9862708149356851E-16   0.25132741228718347      2.030085461597417E-16    0.25132741228718347      2.0789273174915685E-16   0.25132741228718347      2.1350344176093095E-16   0.25132741228718347      2.196145942220293E-16    0.25132741228718347      2.254938412909683E-16    0.25132741228718347      2.3278213517131083E-16   0.25132741228718347      2.397871603141917E-16    0.25132741228718347
0.257610597594363         1.1258152033428897E-15   0.25761059759436294      1.1577135101745067E-15   0.25761059759436294      1.1899963717973987E-15   0.25761059759436294      1.2193612156192905E-15   0.25761059759436294      1.2502575432234444E-15   0.25761059759436294      1.2847738926859943E-15   0.25761059759436294      1.320528151688546E-15    0.25761059759436294      1.3530449587087362E-15   0.25761059759436294      1.3918758837333807E-15   0.25761059759436294      1.4280545157211342E-15   0.25761059759436294
0.26389378290154264       2.0070606773252785E-15   0.26389378290154264      2.050624570595922E-15    0.26389378290154264      2.094821089448563E-15    0.26389378290154264      2.133355257243411E-15    0.26389378290154264      2.1741811423005755E-15   0.26389378290154264      2.2207416970757683E-15   0.26389378290154264      2.269117623217585E-15    0.26389378290154264      2.3116970245761902E-15   0.26389378290154264      2.3647777315557676E-15   0.26389378290154264      2.412986351861138E-15    0.26389378290154264
0.2701769682087222        6.505954042515765E-16    0.2701769682087222       6.659664249422546E-16    0.2701769682087222       6.811584778416669E-16    0.2701769682087222       6.944301914333874E-16    0.2701769682087222       7.081514977886494E-16    0.2701769682087222       7.231460877961399E-16    0.2701769682087222       7.384394896823257E-16    0.2701769682087222       7.516961611767399E-16    0.2701769682087222       7.67858392114761E-16     0.2701769682087222       7.820268201355652E-16    0.2701769682087222
0.27646015351590175       5.218370940875622E-16    0.27646015351590175      5.323376636800038E-16    0.27646015351590175      5.423710849789941E-16    0.27646015351590175      5.505742505072057E-16    0.27646015351590175      5.594666040958751E-16    0.27646015351590175      5.696086895797863E-16    0.27646015351590175      5.800632612611385E-16    0.27646015351590175      5.888416948339665E-16    0.27646015351590175      6.003076756433857E-16    0.27646015351590175      6.104856850300408E-16    0.27646015351590175
0.2827433388230814        1.7363817849558746E-15   0.2827433388230814       1.7586754604926372E-15   0.2827433388230814       1.7812061442964894E-15   0.2827433388230814       1.798266817450162E-15    0.2827433388230814       1.8179056895895363E-15   0.2827433388230814       1.842807796403423E-15    0.2827433388230814       1.8695768262757593E-15   0.2827433388230814       1.891625770094416E-15    0.2827433388230814       1.923438824003423E-15    0.2827433388230814       1.951833617325234E-15    0.2827433388230814
0.289026524130261         1.0318653762923993E-15   0.289026524130261        1.0411015063638999E-15   0.289026524130261        1.0506640601241315E-15   0.289026524130261        1.0571910083459497E-15   0.289026524130261        1.0653947228021251E-15   0.289026524130261        1.0767990279899552E-15   0.289026524130261        1.0895993207404571E-15   0.289026524130261        1.099973491172158E-15    0.289026524130261        1.1164248519178887E-15   0.289026524130261        1.131008022655294E-15    0.289026524130261
0.29530970943744056       2.0442898925403857E-16   0.29530970943744056      2.137991945178976E-16    0.29530970943744056      2.232657900194448E-16    0.29530970943744056      2.325048903909056E-16    0.29530970943744056      2.422935691404113E-16    0.29530970943744056      2.5299592968299305E-16   0.29530970943744056      2.6425792741663945E-16   0.29530970943744056      2.751577931217274E-16    0.29530970943744056      2.876785137894993E-16    0.29530970943744056      2.9979246184418067E-16   0.29530970943744056
0.30159289474462014       1.3877552494895752E-15   0.30159289474462014      1.4241585753984238E-15   0.30159289474462014      1.46111474369619E-15     0.30159289474462014      1.4943330814573353E-15   0.30159289474462014      1.5293771091463164E-15   0.30159289474462014      1.568834885913924E-15    0.30159289474462014      1.6098318600661366E-15   0.30159289474462014      1.6467402275433315E-15   0.30159289474462014      1.6914027174669745E-15   0.30159289474462014      1.7327162200078807E-15   0.30159289474462014
0.3078760800517997        1.6484186624233575E-15   0.30787608005179967      1.6835221231646246E-15   0.30787608005179967      1.719114656801912E-15    0.30787608005179967      1.7499619482182884E-15   0.30787608005179967      1.7825639760612534E-15   0.30787608005179967      1.8196837796984044E-15   0.30787608005179967      1.858265802335125E-15    0.30787608005179967      1.8919445355265446E-15   0.30787608005179967      1.9341110513027884E-15   0.30787608005179967      1.9720480855613614E-15   0.30787608005179967
0.3141592653589793        4.2673797292383394E-16   0.3141592653589793       4.384304828494621E-16    0.3141592653589793       4.496835496493149E-16    0.3141592653589793       4.595390386139005E-16    0.3141592653589793       4.695884931371288E-16    0.3141592653589793       4.801456543169963E-16    0.3141592653589793       4.907404650493877E-16    0.3141592653589793       4.998497502869451E-16    0.3141592653589793       5.106068924225997E-16    0.3141592653589793       5.198334982495054E-16    0.3141592653589793
0.3204424506661589        7.494066469787899E-16    0.3204424506661589       7.618117544709691E-16    0.3204424506661589       7.737331951837465E-16    0.3204424506661589       7.830746520246144E-16    0.3204424506661589       7.934828181246354E-16    0.3204424506661589       8.058351843193332E-16    0.3204424506661589       8.187827073956255E-16    0.3204424506661589       8.293898179478168E-16    0.3204424506661589       8.439948731508783E-16    0.3204424506661589       8.569150406870818E-16    0.3204424506661589
0.32672563597333854       1.5962941063061679E-15   0.32672563597333854      1.6125801172471683E-15   0.32672563597333854      1.629096311252797E-15    0.32672563597333854      1.6406043672230933E-15   0.32672563597333854      1.654555319251445E-15    0.32672563597333854      1.673384301693726E-15    0.32672563597333854      1.6940899435189506E-15   0.32672563597333854      1.7104837111703924E-15   0.32672563597333854      1.7360265386889082E-15   0.32672563597333854      1.7585131381463077E-15   0.32672563597333854
0.33300882128051806       7.129940681294903E-16    0.33300882128051806      7.18047879695378E-16     0.33300882128051806      7.233248786536425E-16    0.33300882128051806      7.266521149405428E-16    0.33300882128051806      7.312864892411969E-16    0.33300882128051806      7.382395275727033E-16    0.33300882128051806      7.463754725854413E-16    0.33300882128051806      7.529830692863646E-16    0.33300882128051806      7.640812151051337E-16    0.33300882128051806      7.739586677404074E-16    0.33300882128051806
0.33929200658769765       3.1507666571442867E-16   0.33929200658769765      3.292151652834824E-16    0.33929200658769765      3.4349415922013554E-16   0.33929200658769765      3.573231400894353E-16    0.33929200658769765      3.7184862994858976E-16   0.33929200658769765      3.8774253311394846E-16   0.33929200658769765      4.0437415430694906E-16   0.33929200658769765      4.2024606574295284E-16   0.33929200658769765      4.3850118132392703E-16   0.33929200658769765      4.560208971841955E-16    0.33929200658769765
0.3455751918948773        1.4521951006782008E-15   0.3455751918948773       1.488650812136263E-15    0.3455751918948773       1.5257250520274823E-15   0.3455751918948773       1.5588783806583629E-15   0.3455751918948773       1.5938409282091105E-15   0.3455751918948773       1.6334558578198151E-15   0.3455751918948773       1.674750216310476E-15    0.3455751918948773       1.7116045028672698E-15   0.3455751918948773       1.7567114099262804E-15   0.3455751918948773       1.7982157242492555E-15   0.3455751918948773
0.3518583772020568        1.4099090832102415E-15   0.35185837720205687      1.4396822966766311E-15   0.35185837720205687      1.4697879950205279E-15   0.35185837720205687      1.4958017758958717E-15   0.35185837720205687      1.5231569353738229E-15   0.35185837720205687      1.5542341975796216E-15   0.35185837720205687      1.5865415750369702E-15   0.35185837720205687      1.614463153895263E-15    0.35185837720205687      1.6496188150783384E-15   0.35185837720205687      1.6809490343217096E-15   0.35185837720205687
